2024-12-11 00:00:29,877 | TradingBot | INFO | Trade status: First trade - no cooling period applied
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 63, in analyze_market_conditions
    current_price = get_current_price(client, SYMBOL)
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\data_fetcher.py", line 93, in get_current_price
    result = loop.run_until_complete(get_current_price_async(symbol))
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py", line 629, in run_until_complete
    self._check_running()
  File "C:\Users\berka\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py", line 590, in _check_running
    raise RuntimeError(
RuntimeError: Cannot run the event loop while another loop is running
2024-12-11 01:13:59,022 | TradingBot | ERROR | Market analysis failed: Cannot run the event loop while another loop is running
2024-12-11 01:13:59,023 | TradingBot | ERROR | Error in trading iteration: Cannot run the event loop while another loop is running
2024-12-11 01:13:59,024 | TradingBot | ERROR | Unexpected error (ID: 20241211011359-d9041bbc): Cannot run the event loop while another loop is running
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = await run_trading_iteration(
                                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 123, in run_trading_iteration
    market_data = await analyze_market_conditions(client, config, request_id, news_analyzer)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 63, in analyze_market_conditions
    current_price = get_current_price(client, SYMBOL)
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\data_fetcher.py", line 93, in get_current_price
    result = loop.run_until_complete(get_current_price_async(symbol))
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py", line 629, in run_until_complete
    self._check_running()
  File "C:\Users\berka\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py", line 590, in _check_running
    raise RuntimeError(
RuntimeError: Cannot run the event loop while another loop is running
2024-12-11 01:14:59,028 | TradingBot | ERROR | Market analysis failed: Cannot run the event loop while another loop is running
2024-12-11 01:14:59,029 | TradingBot | ERROR | Error in trading iteration: Cannot run the event loop while another loop is running
2024-12-11 01:14:59,029 | TradingBot | ERROR | Unexpected error (ID: 20241211011459-fe3dd510): Cannot run the event loop while another loop is running
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = await run_trading_iteration(
                                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 123, in run_trading_iteration
    market_data = await analyze_market_conditions(client, config, request_id, news_analyzer)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 63, in analyze_market_conditions
    current_price = get_current_price(client, SYMBOL)
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\data_fetcher.py", line 93, in get_current_price
    result = loop.run_until_complete(get_current_price_async(symbol))
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py", line 629, in run_until_complete
    self._check_running()
  File "C:\Users\berka\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py", line 590, in _check_running
    raise RuntimeError(
RuntimeError: Cannot run the event loop while another loop is running
2024-12-11 01:15:59,034 | TradingBot | ERROR | Market analysis failed: Cannot run the event loop while another loop is running
2024-12-11 01:15:59,035 | TradingBot | ERROR | Error in trading iteration: Cannot run the event loop while another loop is running
2024-12-11 01:15:59,035 | TradingBot | ERROR | Unexpected error (ID: 20241211011559-5ce6a213): Cannot run the event loop while another loop is running
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = await run_trading_iteration(
                                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 123, in run_trading_iteration
    market_data = await analyze_market_conditions(client, config, request_id, news_analyzer)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 63, in analyze_market_conditions
    current_price = await get_current_price(client, SYMBOL)
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\data_fetcher.py", line 93, in get_current_price
    """Get historical klines/candlestick data"""
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py", line 629, in run_until_complete
    self._check_running()
  File "C:\Users\berka\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py", line 590, in _check_running
    raise RuntimeError(
RuntimeError: Cannot run the event loop while another loop is running
2024-12-11 01:16:04,705 | TradingBot | ERROR | Market analysis failed: Could not fetch current price
2024-12-11 01:16:04,706 | TradingBot | ERROR | Error in trading iteration: Could not fetch current price
2024-12-11 01:16:04,706 | TradingBot | ERROR | Unexpected error (ID: 20241211011604-57e96cc3): Could not fetch current price
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = await run_trading_iteration(
                                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 123, in run_trading_iteration
    market_data = await analyze_market_conditions(client, config, request_id, news_analyzer)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 65, in analyze_market_conditions
    raise DataFetchError("Could not fetch current price")
exceptions.DataFetchError: Could not fetch current price
2024-12-11 01:16:32,133 | TradingBot | ERROR | Market analysis failed: object function can't be used in 'await' expression
2024-12-11 01:16:32,133 | TradingBot | ERROR | Error in trading iteration: object function can't be used in 'await' expression
2024-12-11 01:16:32,135 | TradingBot | ERROR | Unexpected error (ID: 20241211011632-e29ada05): object function can't be used in 'await' expression
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = await run_trading_iteration(
                                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 123, in run_trading_iteration
    market_data = await analyze_market_conditions(client, config, request_id, news_analyzer)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 59, in analyze_market_conditions
    client, SYMBOL, TIMEFRAMES, await get_historical_data, config
                                ^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: object function can't be used in 'await' expression
2024-12-11 01:17:27,989 | TradingBot | ERROR | Unexpected error (ID: 20241211011727-407f300c): cannot unpack non-iterable coroutine object
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = run_trading_iteration(
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: cannot unpack non-iterable coroutine object
2024-12-11 01:17:43,621 | TradingBot | ERROR | Market analysis failed: object function can't be used in 'await' expression
2024-12-11 01:17:43,621 | TradingBot | ERROR | Error in trading iteration: object function can't be used in 'await' expression
2024-12-11 01:17:43,622 | TradingBot | ERROR | Unexpected error (ID: 20241211011743-0a6ffbea): object function can't be used in 'await' expression
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = await run_trading_iteration(
                                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 123, in run_trading_iteration
    market_data = await analyze_market_conditions(client, config, request_id, news_analyzer)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 59, in analyze_market_conditions
    client, SYMBOL, TIMEFRAMES, await get_historical_data, config
                                ^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: object function can't be used in 'await' expression
2024-12-11 01:18:43,626 | TradingBot | ERROR | Market analysis failed: object function can't be used in 'await' expression
2024-12-11 01:18:43,627 | TradingBot | ERROR | Error in trading iteration: object function can't be used in 'await' expression
2024-12-11 01:18:43,627 | TradingBot | ERROR | Unexpected error (ID: 20241211011843-eb0d25f3): object function can't be used in 'await' expression
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = await run_trading_iteration(
                                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 123, in run_trading_iteration
    market_data = await analyze_market_conditions(client, config, request_id, news_analyzer)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 59, in analyze_market_conditions
    client, SYMBOL, TIMEFRAMES, await get_historical_data, config
                                ^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: object function can't be used in 'await' expression
2024-12-11 01:19:37,970 | TradingBot | ERROR | Market analysis failed: Could not fetch current price
2024-12-11 01:19:37,972 | TradingBot | ERROR | Error in trading iteration: Could not fetch current price
2024-12-11 01:19:37,972 | TradingBot | ERROR | Unexpected error (ID: 20241211011936-2f0bc60e): Could not fetch current price
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = await run_trading_iteration(
                                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 123, in run_trading_iteration
    market_data = await analyze_market_conditions(client, config, request_id, news_analyzer)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 65, in analyze_market_conditions
    raise DataFetchError("Could not fetch current price")
exceptions.DataFetchError: Could not fetch current price
2024-12-11 01:20:44,808 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 01:20:44,809 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: -0.00)
2024-12-11 01:20:44,819 | TradingBot | INFO | Next check time: 2024-12-11 01:21:44
2024-12-11 01:21:52,512 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 01:21:52,513 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: -0.02)
2024-12-11 01:21:52,523 | TradingBot | INFO | Next check time: 2024-12-11 01:22:52
2024-12-11 01:23:00,197 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 01:23:00,199 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.00)
2024-12-11 01:23:00,208 | TradingBot | INFO | Next check time: 2024-12-11 01:24:00
2024-12-11 01:24:07,952 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 01:24:07,953 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: -0.00)
2024-12-11 01:24:07,968 | TradingBot | INFO | Next check time: 2024-12-11 01:25:07
2024-12-11 01:25:14,163 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 01:25:14,164 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: -0.00)
2024-12-11 01:25:14,175 | TradingBot | INFO | Next check time: 2024-12-11 01:26:14
2024-12-11 01:26:21,886 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 01:26:21,887 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: -0.01)
2024-12-11 01:26:21,899 | TradingBot | INFO | Next check time: 2024-12-11 01:27:21
2024-12-11 01:27:30,026 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 01:27:30,028 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: -0.01)
2024-12-11 01:27:30,039 | TradingBot | INFO | Next check time: 2024-12-11 01:28:30
